Gene_name	abundances_CH2879_noINF	abundances_JJ012_noINF
SPTB	2184718.5238551	18109495.9226347
NLN	56174374.4282049	856117329.640429
G3BP1	292181376.012398	2734862806.77798
SKIC3	216458111.732861	220638105.244996
WDR1	64256515.0109757	170314597.993845
CPSF1	62472351.1262899	658342028.244023
RPL5	22616015.0034832	1538125623.55126
HSPA5	418728068.886747	338743031.966953
EFTUD2	118527855.532313	455514628.944566
KIF1B	16892262.4909843	547668101.790587
SERPINH1	94982301.6124374	1709352259.80686
0	6341419.2238359	540961482.093024
KIF2C	167547830.101064	138496726.322192
MYCBP2	28424360.3413531	220263632.950624
AHCYL1	1602676739.18747	4742661489.29219
NUP210	2253583252.01627	2721851.10028055
CLPTM1	21803412.8738184	243546211.170443
SMARCA4	74305966.1530177	246423535.119822
RAI14	166867843.151103	70923194.1599535
HEATR5B	408405622.679042	218343924.336732
RPS3A	166660515.413163	1340830136.23616
PKN2	558900592.072237	277218428.841027
PALLD	258646108.80676	2297627007.20889
SAMD9	44137097.7659518	6412836.42176137
BAG6	227640637.178984	174356252.112726
AARS1	1721917306.61877	160979918.252865
MYL6	100748429.880766	6216780080.04087
DMXL1	121948925.919963	100301283.938138
PRPF6	494700128.335807	627435840.566112
KARS1	191592206.163132	1172766023.16631
SMC3	643765345.929125	339037403.491908
SEC16A	616660998.083774	140165022.044647
MET	17751675.6302524	728785828.801934
TBL3	3885476323.26403	198895041.304195
LOXL2	15894466.1694634	836194909.438571
DARS1	16795451.5007061	869357394.044651
ACTR2	30022032.6903629	3082623959.13578
SEC24C	460050044.224874	287665545.847178
PSMA4	14586776.581712	102331326.152849
HCFC1	246235249.831339	118174539.502836
HNRNPUL1	148427416.580359	419248597.017554
CSNK2A2	816028205.061756	576579420.919157
ZNF292	10786704.1441343	597660958.972179
SEC14L1	111227851.55089	5293812115.11713
MACF1	16044136.593872	37010092.0641678
ACACA	73532482.6856999	373318134.95603
PLXNB2	87622539.1901273	308945683.283214
UBA52	984516605.001053	344270928.444615
MCM7	188529460.329395	561199978.271788
SFPQ	213596359.5032	658146618.329415
NAP1L1	18439760.198279	39777822317.4037
MAP1A	357671647.690462	120364904.179081
H1-4	67281583197.8674	25055095.2694538
MRC2	192541608.325939	172127461.532372
PYGL	4455078.61490904	8170839913.46511
UBE4B	42906458.7119471	200513924.365435
HNRNPM	952274102.041641	1564010371.22277
COG1	129596925.931376	355941059.322006
BZW1	3135760040.50458	828013107.68729
PDCD11	252970192.181215	217945436.475875
RPS27A	0	45498603.8327646
PLCG1	25339086.2881387	512371420.31625
TXNIP	17711812.4235488	887666894.430449
MT-CO2	9023522493.83581	1951169422.1851
BCOR	11434470790.8278	221929501.839953
PIGT	7658252053.63633	376350434.344466
SPEN	127538979.585699	71691719.9532591
TARS1	1223036258.40383	679408809.381741
GBP2	42964132.0903756	9283549.7702866
NISCH	165561619.901471	275177922.176372
HNRNPL	474925441.993074	7468751899.45058
DPYD	383920355.50704	140095212.652233
MICAL2	186335278.369376	150207400.882268
NCL	171487124.01914	107002258.75412
TLN2	2046734.66518643	29306048.080813
COL6A1	941286239.094138	179274187.660548
GOLGA4	235323378.598209	308614299.733112
PPP2R1B	0	46693259.5262281
YTHDC2	381877687.831341	289186150.368351
CSNK2A1	907681202.677413	962280942.220382
MED23	240957442.475662	968470310.312236
MAP4	1277924747.72386	211936042.298434
IPO8	85376942.0977275	373169628.619851
HNRNPDL	177943458.38826	16358513.1857198
MTHFD1	24526180.6574452	900297391.614607
CUL4A	733215801.143045	1913542005.66344
BRWD1	491522211.319938	33988059.372978
ERBIN	678865310.489261	421480672.916269
PRC1	27888106.880504	366559988.955611
ATXN10	633587690.935587	1960657193.33462
